Number of total jobs: 3732
Job created at 6, Arrival Time: 6, Processing Time: 3, Priority: 0
Job created at 10, Arrival Time: 10, Processing Time: 6, Priority: 0
Job created at 10, Arrival Time: 10, Processing Time: 1, Priority: 0
Job created at 16, Arrival Time: 16, Processing Time: 5, Priority: 0
Job created at 19, Arrival Time: 19, Processing Time: 6, Priority: 0
Job created at 19, Arrival Time: 19, Processing Time: 4, Priority: 0
Job created at 25, Arrival Time: 25, Processing Time: 5, Priority: 0
Job created at 26, Arrival Time: 26, Processing Time: 11, Priority: 1
Job created at 26, Arrival Time: 26, Processing Time: 13, Priority: 0
Job created at 29, Arrival Time: 29, Processing Time: 8, Priority: 0
Job created at 31, Arrival Time: 31, Processing Time: 1, Priority: 0
Job created at 35, Arrival Time: 35, Processing Time: 3, Priority: 0
Job created at 40, Arrival Time: 40, Processing Time: 9, Priority: 0
Job created at 40, Arrival Time: 40, Processing Time: 2, Priority: 0
Job created at 45, Arrival Time: 45, Processing Time: 3, Priority: 0
Job created at 49, Arrival Time: 49, Processing Time: 13, Priority: 0
Job created at 49, Arrival Time: 49, Processing Time: 2, Priority: 0
Job created at 51, Arrival Time: 51, Processing Time: 10, Priority: 0
Job created at 54, Arrival Time: 54, Processing Time: 5, Priority: 0
Job created at 59, Arrival Time: 59, Processing Time: 6, Priority: 0
Job created at 59, Arrival Time: 59, Processing Time: 8, Priority: 1
Job created at 61, Arrival Time: 61, Processing Time: 4, Priority: 0
Job created at 65, Arrival Time: 65, Processing Time: 3, Priority: 0
Job created at 69, Arrival Time: 69, Processing Time: 9, Priority: 0
Job created at 69, Arrival Time: 69, Processing Time: 2, Priority: 0
Job created at 74, Arrival Time: 74, Processing Time: 14, Priority: 0
Job created at 76, Arrival Time: 76, Processing Time: 1, Priority: 0
Job created at 79, Arrival Time: 79, Processing Time: 6, Priority: 0
Job created at 81, Arrival Time: 81, Processing Time: 2, Priority: 0
Job created at 86, Arrival Time: 86, Processing Time: 4, Priority: 0
Job created at 87, Arrival Time: 87, Processing Time: 10, Priority: 1
Job created at 89, Arrival Time: 89, Processing Time: 3, Priority: 0
Job created at 90, Arrival Time: 90, Processing Time: 9, Priority: 0
Job created at 96, Arrival Time: 96, Processing Time: 5, Priority: 0
Job created at 99, Arrival Time: 99, Processing Time: 7, Priority: 0
Job created at 99, Arrival Time: 99, Processing Time: 15, Priority: 0
Job created at 100, Arrival Time: 100, Processing Time: 5, Priority: 0
Job created at 106, Arrival Time: 106, Processing Time: 2, Priority: 0
Job created at 111, Arrival Time: 111, Processing Time: 6, Priority: 0
Job created at 111, Arrival Time: 111, Processing Time: 4, Priority: 0
Job created at 114, Arrival Time: 114, Processing Time: 5, Priority: 0
Job created at 119, Arrival Time: 119, Processing Time: 10, Priority: 0
Job created at 119, Arrival Time: 119, Processing Time: 2, Priority: 0
Job created at 125, Arrival Time: 125, Processing Time: 11, Priority: 1
Job created at 126, Arrival Time: 126, Processing Time: 4, Priority: 0
Job created at 126, Arrival Time: 126, Processing Time: 15, Priority: 0
Job created at 130, Arrival Time: 130, Processing Time: 9, Priority: 0
Job created at 131, Arrival Time: 131, Processing Time: 5, Priority: 0
Job created at 135, Arrival Time: 135, Processing Time: 3, Priority: 0
Job created at 139, Arrival Time: 139, Processing Time: 5, Priority: 0
Job created at 141, Arrival Time: 141, Processing Time: 10, Priority: 0
Job created at 146, Arrival Time: 146, Processing Time: 2, Priority: 0
Job created at 149, Arrival Time: 149, Processing Time: 10, Priority: 0
Job created at 150, Arrival Time: 150, Processing Time: 4, Priority: 0
Job created at 150, Arrival Time: 150, Processing Time: 8, Priority: 1
Job created at 150, Arrival Time: 150, Processing Time: 12, Priority: 0
Job created at 155, Arrival Time: 155, Processing Time: 1, Priority: 0
